City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kapaa,US,79.12,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
6,Puro,PH,81.09,broken clouds,12.4841,123.3827,
8,Ribeira Grande,PT,79.2,few clouds,38.5167,-28.7,Quinta da Meia Eira
11,Butaritari,KI,81.77,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
16,Bethel,US,80.35,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
21,Muroto,JP,80.58,scattered clouds,33.2833,134.15,Oota Ryokan
31,Nikolskoye,RU,79.92,broken clouds,59.7035,30.7861,Tourist House - Sablino
32,Kalmunai,LK,81.05,broken clouds,7.4167,81.8167,VS Villa
33,Madang,PG,78.01,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
36,Bantou,CN,80.64,scattered clouds,26.2151,117.4893,
44,Arraial Do Cabo,BR,80.56,few clouds,-22.9661,-42.0278,Pousada Porto Praia
46,Saint George,US,79.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
53,Tuy Hoa,VN,78.71,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
59,Hithadhoo,MV,82.54,overcast clouds,-0.6,73.0833,Scoop Guest House
78,Isabela,PH,78.46,overcast clouds,6.7085,121.9711,Isawad Resort
79,Kununurra,AU,78.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
89,Mitu,CO,83.1,broken clouds,1.1983,-70.1733,
105,Cabedelo,BR,84.87,broken clouds,-6.9811,-34.8339,Pousada Camboinha
107,Seoul,KR,78.37,overcast clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
108,Da Nang,VN,82.38,few clouds,16.0678,108.2208,Grand Mercure Danang
130,Chaohu,CN,78.48,few clouds,31.6,117.8667,Shell Hefei Chaohu Railway Station Wanda Plaza Hotel
132,Iwaki,JP,80.76,overcast clouds,37.05,140.8833,Toyoko Inn Iwaki Ekimae
145,Saverne,FR,80.73,few clouds,48.8333,7.25,Hôtel Aux deux Clefs
146,Tual,ID,79.25,broken clouds,-5.6667,132.75,Grand Vilia Hotel
153,Roding,DE,83.59,few clouds,49.1964,12.5186,City Hotel Roding
156,Muros,ES,82.69,clear sky,42.7762,-9.0603,Apartment Av. Castelao
160,Atasu,KZ,83.3,overcast clouds,48.6814,71.6433,Dostyk
173,Malanje,AO,83.93,few clouds,-9.5402,16.341,Hotel Ginga
174,Monrovia,LR,82.17,overcast clouds,6.3005,-10.7969,Sunset Inn
193,Ararat,AM,84.54,clear sky,39.8317,44.7049,NORSED MOTEL/НОРСЕД МОТЕЛЬ/ՆՈՐՍԵԴ ՄՈԹԵԼ
194,Sao Filipe,CV,78.85,broken clouds,14.8961,-24.4956,Hotel Xaguate
195,Port Blair,IN,82.22,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
198,Santa Rosa,PH,80.02,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
201,Kavieng,PG,82.78,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
203,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
212,Xixiang,CN,78.94,few clouds,35.1628,112.865,Hongchang Rest House
220,La Huerta,MX,81.09,overcast clouds,19.4667,-104.65,HOTEL REAL ASTURIAS
224,Yumen,CN,78.57,scattered clouds,40.2833,97.2,
228,Fukue,JP,78.1,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
229,Praya,CV,84.74,scattered clouds,14.9215,-23.5087,LT Aparthotel
233,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
234,Pitimbu,BR,84.79,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
237,Madras,IN,84.96,mist,13.0878,80.2785,"Taj Connemara, Chennai"
240,Bhadrapur,NP,80.69,scattered clouds,26.544,88.0944,Greencity
243,Jiazi,CN,82.71,scattered clouds,22.8779,116.067,Hotel Jin Hao
248,Tateyama,JP,81.1,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
252,Asfi,MA,82.9,clear sky,32.2994,-9.2372,Hôtel Abda
256,Balabac,PH,80.15,broken clouds,7.9868,117.0645,Batalla’s Lodging House
261,Chandia,IN,78.08,light rain,23.65,80.7,Smile Hotel & DJ Road Light
276,Saint-Francois,FR,78.67,clear sky,46.4154,3.9054,Manoir Du Bonheur
291,San Vicente,AR,81.79,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
300,Santa Catalina,PH,79.72,overcast clouds,9.3337,122.8637,BreakWater Beach Sta Catalina Negros Oriental
301,Oytal,KZ,83.77,clear sky,42.9057,73.2697,Sanatorium Ak-Niet
303,Porto Novo,BJ,80.42,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
305,Los Llanos De Aridane,ES,82.15,clear sky,28.6585,-17.9182,Valle Aridane
310,Ranong,TH,79.5,scattered clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
311,Mao,ES,82.96,clear sky,39.8885,4.2658,ARTIEM Capri
318,Nantucket,US,84.34,clear sky,41.2835,-70.0995,Jared Coffin House
325,Vila Velha,BR,80.55,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
331,Takab,IR,80.2,broken clouds,36.4009,47.1133,نانوایی جواد
335,Cascais,PT,84.06,few clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
346,Zlotoryja,PL,78.94,broken clouds,51.1264,15.9198,Gold Hotel Złotoryja
351,Lasa,IT,79.68,light rain,46.6166,10.7002,Pension Feldgärtenhof
368,Kaliganj,BD,79.7,overcast clouds,23.4095,89.1402,অয়ন বিশ্বাস হাউজ
377,Pathein,MM,80.6,broken clouds,16.7833,94.7333,Pathein Hotel
378,Kulaman,PH,78.28,moderate rain,6.4594,124.0892,
380,Kalianget,ID,79.29,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
381,Shenjiamen,CN,79.66,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
382,Zabol,AF,79.61,scattered clouds,32.25,67.25,
394,Hue,VN,82.51,scattered clouds,16.4667,107.6,Saigon Morin Hotel
406,Landau,DE,81.99,scattered clouds,49.2075,8.1133,Hotel Landau Gästehaus Kleine Kalmit
407,Hirara,JP,84.69,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
409,Sal Rei,CV,82.6,broken clouds,16.1833,-22.9167,Marine Club Beach Resort
