City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kapaa,US,22.0752,-159.319,79.12,83,75,18.41,broken clouds
1,Bengkulu,ID,-3.8004,102.2655,76.59,87,96,3.4,overcast clouds
2,Grand Gaube,MU,-20.0064,57.6608,71.38,73,2,5.01,clear sky
3,Saskylakh,RU,71.9167,114.0833,66.36,67,58,1.54,broken clouds
4,Chuy,UY,-33.6971,-53.4616,66.06,84,100,9.78,overcast clouds
5,Ostrovnoy,RU,68.0531,39.5131,58.24,88,100,17.6,light rain
6,Puro,PH,12.4841,123.3827,81.09,79,55,3.44,broken clouds
7,Petropavlovka,RU,50.6114,105.3196,52.47,77,77,4.99,broken clouds
8,Ribeira Grande,PT,38.5167,-28.7,79.2,78,20,10.36,few clouds
9,Albany,US,42.6001,-73.9662,75.63,55,87,6.53,overcast clouds
10,Formosa Do Rio Preto,BR,-11.0483,-45.1931,86.22,30,99,8.93,overcast clouds
11,Butaritari,KI,3.0707,172.7902,81.77,73,47,18.88,scattered clouds
12,Tuatapere,NZ,-46.1333,167.6833,44.51,95,100,9.6,light rain
13,Puerto Ayora,EC,-0.7393,-90.3518,75.16,92,100,3.0,overcast clouds
14,Almeirim,BR,-1.5233,-52.5817,89.56,53,39,4.05,scattered clouds
15,Souillac,MU,-20.5167,57.5167,68.38,83,40,8.05,scattered clouds
16,Bethel,US,41.3712,-73.414,80.35,52,0,6.91,clear sky
17,Lavrentiya,RU,65.5833,-171.0,38.12,86,97,15.88,overcast clouds
18,Mahebourg,MU,-20.4081,57.7,71.26,83,40,8.05,scattered clouds
19,Pimentel,PE,-6.8367,-79.9342,68.29,73,20,8.05,few clouds
20,Jamestown,US,42.097,-79.2353,74.01,69,0,5.99,clear sky
21,Muroto,JP,33.2833,134.15,80.58,82,38,1.48,scattered clouds
22,Rawson,AR,-43.3002,-65.1023,46.58,97,100,7.58,overcast clouds
23,San Quintin,MX,30.4833,-115.95,70.03,73,78,6.11,broken clouds
24,Avarua,CK,-21.2078,-159.775,68.05,83,100,11.5,light rain
25,Kahului,US,20.8947,-156.47,75.85,80,40,13.8,scattered clouds
26,Celestun,MX,20.8667,-90.4,86.47,61,78,3.04,broken clouds
27,Borger,NL,52.9233,6.7931,68.88,58,96,11.48,overcast clouds
28,Bluff,NZ,-46.6,168.3333,44.8,89,100,25.19,overcast clouds
29,Mataura,NZ,-46.1927,168.8643,44.47,97,100,7.78,moderate rain
30,Longyearbyen,SJ,78.2186,15.6401,48.04,87,75,8.05,broken clouds
31,Nikolskoye,RU,59.7035,30.7861,79.92,47,53,7.72,broken clouds
32,Kalmunai,LK,7.4167,81.8167,81.05,77,78,1.72,broken clouds
33,Madang,PG,-5.2246,145.7966,78.01,90,100,2.89,overcast clouds
34,Okha,RU,53.5739,142.9478,54.7,95,100,5.99,overcast clouds
35,Les Cayes,HT,18.2,-73.75,87.58,60,8,11.54,clear sky
36,Bantou,CN,26.2151,117.4893,80.64,69,43,2.44,scattered clouds
37,Barrow,US,71.2906,-156.7887,35.62,93,100,24.16,light rain
38,Tuktoyaktuk,CA,69.4541,-133.0374,55.9,70,100,14.32,overcast clouds
39,Bosanska Krupa,BA,44.8825,16.1514,71.24,93,76,1.86,broken clouds
40,Port Alfred,ZA,-33.5906,26.891,61.18,74,1,13.76,clear sky
41,Tasiilaq,GL,65.6145,-37.6368,37.67,93,100,2.82,overcast clouds
42,Punta Arenas,CL,-53.15,-70.9167,37.42,75,75,11.5,broken clouds
