City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Richards Bay,ZA,-28.783,32.0377,57.16,76,7,5.44,clear sky
1,Port Alfred,ZA,-33.5906,26.891,56.75,71,0,15.5,clear sky
2,Hobart,AU,-42.8794,147.3294,53.46,93,100,4.61,overcast clouds
3,Yumen,CN,40.2833,97.2,75.58,31,42,8.14,scattered clouds
4,Jamestown,US,42.097,-79.2353,77.52,53,20,18.41,few clouds
5,Mahebourg,MU,-20.4081,57.7,68.29,83,40,11.5,scattered clouds
6,Ponta Do Sol,PT,32.6667,-17.1,86.63,59,77,4.0,broken clouds
7,Mataura,NZ,-46.1927,168.8643,44.47,96,100,11.05,light rain
8,Provideniya,RU,64.3833,-173.3,41.4,88,100,8.93,overcast clouds
9,Korla,CN,41.7597,86.1469,80.35,29,33,8.68,scattered clouds
10,Kapaa,US,22.0752,-159.319,80.92,69,20,17.27,few clouds
11,Busselton,AU,-33.65,115.3333,62.67,72,75,23.13,broken clouds
12,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,81,0,13.18,clear sky
13,Hami,CN,42.8,93.45,81.57,18,85,17.02,overcast clouds
14,Esperance,AU,-33.8667,121.9,51.15,59,28,16.62,scattered clouds
15,Wajima,JP,37.4,136.9,76.87,84,60,1.54,broken clouds
16,Geraldton,AU,-28.7667,114.6,43.21,87,7,9.22,clear sky
